phenom,N,acc
adjunct_island,25,0.72
anaphor_gender_agreement,31,0.4838709677419355
anaphor_number_agreement,32,0.53125
animate_subject_passive,34,0.5
animate_subject_trans,30,0.7
causative,34,0.5
complex_NP_island,25,0.36
coordinate_structure_constraint_complex_left_branch,18,0.2777777777777778
coordinate_structure_constraint_object_extraction,36,0.4444444444444444
determiner_noun_agreement_1,39,0.6410256410256411
determiner_noun_agreement_2,27,0.6296296296296297
determiner_noun_agreement_irregular_1,31,0.6129032258064516
determiner_noun_agreement_irregular_2,20,0.75
determiner_noun_agreement_with_adj_2,26,0.6538461538461539
determiner_noun_agreement_with_adj_irregular_1,30,0.5666666666666667
determiner_noun_agreement_with_adj_irregular_2,35,0.5142857142857142
determiner_noun_agreement_with_adjective_1,32,0.53125
distractor_agreement_relational_noun,32,0.4375
distractor_agreement_relative_clause,23,0.5652173913043478
drop_argument,22,0.6818181818181818
ellipsis_n_bar_1,32,0.34375
ellipsis_n_bar_2,30,0.4
existential_there_object_raising,27,0.7777777777777778
existential_there_quantifiers_1,34,0.9117647058823529
existential_there_quantifiers_2,29,0.41379310344827586
existential_there_subject_raising,25,0.6
expletive_it_object_raising,28,0.6785714285714286
inchoative,35,0.42857142857142855
intransitive,32,0.4375
irregular_past_participle_adjectives,29,0.8275862068965517
irregular_past_participle_verbs,34,0.6764705882352942
irregular_plural_subject_verb_agreement_1,32,0.5625
irregular_plural_subject_verb_agreement_2,44,0.5681818181818182
left_branch_island_echo_question,25,0.44
left_branch_island_simple_question,27,0.48148148148148145
matrix_question_npi_licensor_present,30,0.36666666666666664
npi_present_1,30,0.26666666666666666
npi_present_2,29,0.27586206896551724
only_npi_licensor_present,28,0.5357142857142857
only_npi_scope,27,0.5925925925925926
passive_1,37,0.6486486486486487
passive_2,36,0.5277777777777778
principle_A_c_command,32,0.59375
principle_A_case_1,27,1.0
principle_A_case_2,24,0.4583333333333333
principle_A_domain_1,34,0.6764705882352942
principle_A_domain_2,25,0.4
principle_A_domain_3,30,0.5666666666666667
principle_A_reconstruction,30,0.23333333333333334
regular_plural_subject_verb_agreement_1,36,0.4722222222222222
regular_plural_subject_verb_agreement_2,30,0.6333333333333333
sentential_negation_npi_licensor_present,25,1.0
sentential_negation_npi_scope,32,0.625
sentential_subject_island,33,0.5151515151515151
superlative_quantifiers_1,25,0.48
superlative_quantifiers_2,32,0.8125
tough_vs_raising_1,30,0.43333333333333335
tough_vs_raising_2,32,0.71875
transitive,30,0.5333333333333333
wh_island,32,0.6875
wh_questions_object_gap,37,0.5405405405405406
wh_questions_subject_gap,31,0.6774193548387096
wh_questions_subject_gap_long_distance,27,0.8148148148148148
wh_vs_that_no_gap,30,0.9
wh_vs_that_no_gap_long_distance,20,0.95
wh_vs_that_with_gap,29,0.3103448275862069
wh_vs_that_with_gap_long_distance,25,0.2
