phenom,N,acc
adjunct_island,200,0.68
anaphor_gender_agreement,200,0.615
anaphor_number_agreement,200,0.775
animate_subject_passive,200,0.695
animate_subject_trans,200,0.775
causative,200,0.51
complex_NP_island,200,0.665
coordinate_structure_constraint_complex_left_branch,200,0.375
coordinate_structure_constraint_object_extraction,200,0.43
determiner_noun_agreement_1,200,0.77
determiner_noun_agreement_2,200,0.815
determiner_noun_agreement_irregular_1,200,0.675
determiner_noun_agreement_irregular_2,200,0.815
determiner_noun_agreement_with_adj_2,200,0.73
determiner_noun_agreement_with_adj_irregular_1,200,0.67
determiner_noun_agreement_with_adj_irregular_2,200,0.71
determiner_noun_agreement_with_adjective_1,200,0.775
distractor_agreement_relational_noun,200,0.47
distractor_agreement_relative_clause,200,0.395
drop_argument,200,0.69
ellipsis_n_bar_1,200,0.495
ellipsis_n_bar_2,200,0.535
existential_there_object_raising,200,0.74
existential_there_quantifiers_1,200,0.935
existential_there_quantifiers_2,200,0.435
existential_there_subject_raising,200,0.61
expletive_it_object_raising,200,0.725
inchoative,200,0.405
intransitive,200,0.61
irregular_past_participle_adjectives,200,0.695
irregular_past_participle_verbs,200,0.645
irregular_plural_subject_verb_agreement_1,200,0.645
irregular_plural_subject_verb_agreement_2,200,0.665
left_branch_island_echo_question,200,0.43
left_branch_island_simple_question,200,0.575
matrix_question_npi_licensor_present,200,0.23
npi_present_1,200,0.315
npi_present_2,200,0.34
only_npi_licensor_present,200,0.535
only_npi_scope,200,0.71
passive_1,200,0.755
passive_2,200,0.71
principle_A_c_command,200,0.58
principle_A_case_1,200,0.99
principle_A_case_2,200,0.51
principle_A_domain_1,200,0.72
principle_A_domain_2,200,0.475
principle_A_domain_3,200,0.515
principle_A_reconstruction,200,0.31
regular_plural_subject_verb_agreement_1,200,0.675
regular_plural_subject_verb_agreement_2,200,0.59
sentential_negation_npi_licensor_present,200,0.985
sentential_negation_npi_scope,200,0.555
sentential_subject_island,200,0.4
superlative_quantifiers_1,200,0.455
superlative_quantifiers_2,200,0.88
tough_vs_raising_1,200,0.465
tough_vs_raising_2,200,0.69
transitive,200,0.65
wh_island,200,0.56
wh_questions_object_gap,200,0.495
wh_questions_subject_gap,200,0.78
wh_questions_subject_gap_long_distance,200,0.845
wh_vs_that_no_gap,200,0.86
wh_vs_that_no_gap_long_distance,200,0.95
wh_vs_that_with_gap,200,0.37
wh_vs_that_with_gap_long_distance,200,0.17
