phenom,N,acc
adjunct_island,25,0.52
anaphor_gender_agreement,31,0.5806451612903226
anaphor_number_agreement,32,0.78125
animate_subject_passive,34,0.6764705882352942
animate_subject_trans,30,0.8666666666666667
causative,34,0.38235294117647056
complex_NP_island,25,0.52
coordinate_structure_constraint_complex_left_branch,18,0.16666666666666666
coordinate_structure_constraint_object_extraction,36,0.25
determiner_noun_agreement_1,39,0.7948717948717948
determiner_noun_agreement_2,27,0.7407407407407407
determiner_noun_agreement_irregular_1,31,0.7096774193548387
determiner_noun_agreement_irregular_2,20,0.8
determiner_noun_agreement_with_adj_2,26,0.6153846153846154
determiner_noun_agreement_with_adj_irregular_1,30,0.5333333333333333
determiner_noun_agreement_with_adj_irregular_2,35,0.7714285714285715
determiner_noun_agreement_with_adjective_1,32,0.8125
distractor_agreement_relational_noun,32,0.53125
distractor_agreement_relative_clause,23,0.5217391304347826
drop_argument,22,0.6363636363636364
ellipsis_n_bar_1,32,0.5
ellipsis_n_bar_2,30,0.5
existential_there_object_raising,27,0.8148148148148148
existential_there_quantifiers_1,34,0.9705882352941176
existential_there_quantifiers_2,29,0.41379310344827586
existential_there_subject_raising,25,0.68
expletive_it_object_raising,28,0.6785714285714286
inchoative,35,0.4
intransitive,32,0.65625
irregular_past_participle_adjectives,29,0.8620689655172413
irregular_past_participle_verbs,34,0.5294117647058824
irregular_plural_subject_verb_agreement_1,32,0.65625
irregular_plural_subject_verb_agreement_2,44,0.7045454545454546
left_branch_island_echo_question,25,0.48
left_branch_island_simple_question,27,0.8148148148148148
matrix_question_npi_licensor_present,30,0.2
npi_present_1,30,0.3333333333333333
npi_present_2,29,0.4482758620689655
only_npi_licensor_present,28,0.6071428571428571
only_npi_scope,27,0.7407407407407407
passive_1,37,0.6486486486486487
passive_2,36,0.6666666666666666
principle_A_c_command,32,0.65625
principle_A_case_1,27,0.9629629629629629
principle_A_case_2,24,0.3333333333333333
principle_A_domain_1,34,0.6470588235294118
principle_A_domain_2,25,0.64
principle_A_domain_3,30,0.6
principle_A_reconstruction,30,0.36666666666666664
regular_plural_subject_verb_agreement_1,36,0.6388888888888888
regular_plural_subject_verb_agreement_2,30,0.5666666666666667
sentential_negation_npi_licensor_present,25,1.0
sentential_negation_npi_scope,32,0.59375
sentential_subject_island,33,0.45454545454545453
superlative_quantifiers_1,25,0.48
superlative_quantifiers_2,32,0.9375
tough_vs_raising_1,30,0.5
tough_vs_raising_2,32,0.71875
transitive,30,0.7666666666666667
wh_island,32,0.5625
wh_questions_object_gap,37,0.4864864864864865
wh_questions_subject_gap,31,0.8709677419354839
wh_questions_subject_gap_long_distance,27,0.8518518518518519
wh_vs_that_no_gap,30,0.8333333333333334
wh_vs_that_no_gap_long_distance,20,0.95
wh_vs_that_with_gap,29,0.3448275862068966
wh_vs_that_with_gap_long_distance,25,0.16
