phenom,N,acc
adjunct_island,200,0.66
anaphor_gender_agreement,200,0.58
anaphor_number_agreement,200,0.54
animate_subject_passive,200,0.585
animate_subject_trans,200,0.625
causative,200,0.45
complex_NP_island,200,0.51
coordinate_structure_constraint_complex_left_branch,200,0.355
coordinate_structure_constraint_object_extraction,200,0.385
determiner_noun_agreement_1,200,0.605
determiner_noun_agreement_2,200,0.62
determiner_noun_agreement_irregular_1,200,0.585
determiner_noun_agreement_irregular_2,200,0.725
determiner_noun_agreement_with_adj_2,200,0.55
determiner_noun_agreement_with_adj_irregular_1,200,0.515
determiner_noun_agreement_with_adj_irregular_2,200,0.625
determiner_noun_agreement_with_adjective_1,200,0.58
distractor_agreement_relational_noun,200,0.48
distractor_agreement_relative_clause,200,0.495
drop_argument,200,0.65
ellipsis_n_bar_1,200,0.36
ellipsis_n_bar_2,200,0.41
existential_there_object_raising,200,0.735
existential_there_quantifiers_1,200,0.825
existential_there_quantifiers_2,200,0.545
existential_there_subject_raising,200,0.545
expletive_it_object_raising,200,0.67
inchoative,200,0.38
intransitive,200,0.47
irregular_past_participle_adjectives,200,0.765
irregular_past_participle_verbs,200,0.725
irregular_plural_subject_verb_agreement_1,200,0.595
irregular_plural_subject_verb_agreement_2,200,0.53
left_branch_island_echo_question,200,0.37
left_branch_island_simple_question,200,0.43
matrix_question_npi_licensor_present,200,0.32
npi_present_1,200,0.285
npi_present_2,200,0.27
only_npi_licensor_present,200,0.545
only_npi_scope,200,0.695
passive_1,200,0.675
passive_2,200,0.605
principle_A_c_command,200,0.58
principle_A_case_1,200,1.0
principle_A_case_2,200,0.42
principle_A_domain_1,200,0.765
principle_A_domain_2,200,0.45
principle_A_domain_3,200,0.515
principle_A_reconstruction,200,0.35
regular_plural_subject_verb_agreement_1,200,0.59
regular_plural_subject_verb_agreement_2,200,0.555
sentential_negation_npi_licensor_present,200,0.995
sentential_negation_npi_scope,200,0.695
sentential_subject_island,200,0.55
superlative_quantifiers_1,200,0.48
superlative_quantifiers_2,200,0.835
tough_vs_raising_1,200,0.405
tough_vs_raising_2,200,0.72
transitive,200,0.62
wh_island,200,0.705
wh_questions_object_gap,200,0.515
wh_questions_subject_gap,200,0.775
wh_questions_subject_gap_long_distance,200,0.845
wh_vs_that_no_gap,200,0.88
wh_vs_that_no_gap_long_distance,200,0.885
wh_vs_that_with_gap,200,0.2
wh_vs_that_with_gap_long_distance,200,0.145
